299.981887	299.981887	299.981887	299.981887	299.981887	299.981887	299.98188	299.981601	299.96784	59.9933485	59.9796298	59.9793514	59.9793447	59.9793446	59.9793446	59.9793446	59.9793446	59.9793446
299.983491	299.983491	299.983491	299.983491	299.983491	299.983491	299.983483	299.983183	299.969443	69.9916842	69.977984	69.9776847	69.9776772	69.9776771	69.9776771	69.9776771	69.9776771	69.9776771
299.984941	299.984941	299.984941	299.984941	299.984941	299.984941	299.984932	299.984611	299.970929	79.9901409	79.9764976	79.9761771	79.9761687	79.9761685	79.9761685	79.9761685	79.9761685	79.9761685
299.986258	299.986258	299.986258	299.986258	299.986258	299.986257	299.986248	299.985906	299.97232	89.9886987	89.9751497	89.9748079	89.9747986	89.9747984	89.9747984	89.9747984	89.9747984	89.9747984
299.987456	299.987456	299.987456	299.987456	299.987456	299.987456	299.987445	299.987082	299.973628	99.9873428	99.9739246	99.9735617	99.9735513	99.9735511	99.9735511	99.9735511	99.9735511	99.9735511
299.988548	299.988548	299.988548	299.988548	299.988548	299.988548	299.988536	299.988152	299.974866	109.986062	109.97281	109.972426	109.972414	109.972414	109.972414	109.972414	109.972414	109.972414
299.989544	299.989544	299.989544	299.989544	299.989544	299.989544	299.989531	299.989126	299.976043	119.984846	119.971794	119.97139	119.971377	119.971377	119.971377	119.971377	119.971377	119.971377
299.990453	299.990453	299.990453	299.990453	299.990453	299.990452	299.990439	299.990014	299.977165	129.983689	129.970868	129.970445	129.970431	129.970431	129.970431	129.970431	129.970431	129.970431
299.991283	299.991283	299.991283	299.991283	299.991283	299.991282	299.991267	299.990824	299.978239	139.982582	139.970025	139.969582	139.969567	139.969567	139.969567	139.969567	139.969567	139.969567
299.99204	299.99204	299.99204	299.99204	299.99204	299.99204	299.992024	299.991562	299.979271	149.98152	149.969255	149.968794	149.968778	149.968778	149.968778	149.968778	149.968778	149.968778
299.992732	299.992732	299.992732	299.992732	299.992732	299.992731	299.992714	299.992236	299.980266	159.980499	159.968553	159.968075	159.968058	159.968058	159.968058	159.968058	159.968058	159.968058
299.993363	299.993363	299.993363	299.993363	299.993363	299.993363	299.993344	299.992851	299.981227	169.979514	169.967912	169.967419	169.967401	169.9674	169.9674	169.9674	169.9674	169.9674
299.99394	299.99394	299.99394	299.99394	299.99394	299.993939	299.993919	299.993412	299.982158	179.97856	179.967327	179.96682	179.9668	179.9668	179.9668	179.9668	179.9668	179.9668
299.994466	299.994466	299.994466	299.994466	299.994466	299.994466	299.994444	299.993925	299.983063	189.977635	189.966792	189.966273	189.966252	189.966252	189.966252	189.966251	189.966251	189.966252
299.994947	299.994947	299.994947	299.994947	299.994947	299.994946	299.994924	299.994393	299.983945	199.976736	199.966304	199.965774	199.965752	199.965751	199.965751	199.965751	199.965751	199.965751
299.995386	299.995386	299.995386	299.995386	299.995386	299.995385	299.995361	299.994821	299.984538	199.983844	199.973578	199.973038	199.973015	199.973014	199.973014	199.973014	199.973014	199.973014
299.995787	299.995787	299.995787	299.995787	299.995787	299.995786	299.995761	299.995213	299.98517	199.986897	199.976871	199.976324	199.976299	199.976298	199.976298	199.976298	199.976298	199.976298
299.996153	299.996153	299.996153	299.996153	299.996153	299.996152	299.996126	299.995572	299.985758	199.989172	199.979376	199.978823	199.978797	199.978796	199.978796	199.978796	199.978796	199.978796
299.996487	299.996487	299.996487	299.996487	299.996487	299.996486	299.996459	299.9959	299.986308	199.991016	199.981441	199.980883	199.980856	199.980855	199.980855	199.980855	199.980855	199.980855
299.996792	299.996792	299.996792	299.996792	299.996792	299.996791	299.996762	299.996202	299.986823	199.99258	199.983219	199.982658	199.98263	199.982629	199.982629	199.982629	199.982629	199.982629
